Team 1,Team 2,Winner,Margin,Ground,Match Date,odi_id,match_link,match_id,T1_P1_Bat_Avg_SR,T2_Rel_bat_strength,T1_P6_Bat_Avg_SR,T1_P5_Bat_Avg_SR,T1_P2_Bat_Avg_SR,T1_P4_Bat_Avg_SR,T1_Rel_bat_strength,T2_P2_Bat_Avg_SR,T1_Batsman3_impact_factor,T2_P5_Bat_Avg_SR,T2_P4_Bat_Avg_SR,T1_Batsman4_impact_factor,T2_P6_Bat_Avg_SR,T1_Batsman2_form_index,T1_P2_Bowl_avg_T1_P2_Bowl_SR,T1_P3_Bat_Avg_SR,T2_P3_Bat_Avg_SR,T2_P1_Bowl_avg_T2_P1_Bowl_SR,T1_P1_Bowl_avg_T1_P1_Bowl_SR,T2_Bowler1_impact_factor,T2_P1_Bat_Avg_SR,T1_Batsman1_impact_factor,T1_P4_Bowl_avg_T1_P4_Bowl_SR,T1_Bowler1_impact_factor,T2_Batsman4_impact_factor,T2_P1_Bowl_eco,T1_Batsman5_impact_factor,T2_Batsman3_form_index,T2_P2_Bowl_avg_T2_P2_Bowl_SR,T2_P3_Bowl_eco,T1_P4_Bowl_eco,T2_Batsman5_impact_factor,T2_Bowler5_form_index,T1_P2_Bowl_eco,T2_P4_Bowl_eco,T2_P5_Bowl_avg_T2_P5_Bowl_SR,T2_Batsman2_impact_factor,T2_Batsman3_impact_factor,T1_Bowler3_impact_factor,T2_P2_Bowl_eco,T1_Batsman3_form_index,T1_P3_Bowl_eco,T1_Batsman2_impact_factor,T1_Batsman1_form_index,T1_Bowler1_form_index,T1_Rel_bowl_strength,T1_P7_Bat_Avg_SR,T2_Bowler4_impact_factor,T2_Bowler3_impact_factor,T2_Rel_bowl_strength,T2_Bowler2_impact_factor,T1_Bowler3_form_index,T1_P3_Bowl_avg_T1_P3_Bowl_SR,T2_Bowler1_form_index,T2_Batsman1_impact_factor,T1_Batsman5_form_index,T1_Bowler2_form_index,T2_P7_Bat_Avg_SR,T2_P8_11_Bat_Avg_SR,T1_Bowler2_impact_factor,T1_P8_11_Bat_Avg_SR,T2_Batsman4_form_index,T2_Batsman2_form_index,T2_P4_Bowl_avg_T2_P4_Bowl_SR,T1_P1_Bowl_eco,T1_Bowler4_impact_factor,T2_Bowler3_form_index,T2_P5_Bowl_eco,T1_Batsman4_form_index,T2_Batsman1_form_index,T2_Bowler4_form_index,T1_Bowler4_form_index,T1_Bowler5_form_index,T2_Batsman5_form_index,T2_P3_Bowl_avg_T2_P3_Bowl_SR,T1_P5_Bowl_eco,T2_Bowler2_form_index,T1_P5_Bowl_avg_T1_P5_Bowl_SR,dep_var
New Zealand,South Africa,South Africa,67 runs,Perth,1-Feb-02,1801,/wi/engine/match/65625.html,65625,25.92634861,599.3458635,17.64571368,21.9312101,21.51296313,12.88775624,508.8116325,25.54667788,11.3198353,26.34454412,25.81580954,12.11741729,18.72016065,0.879659188,2321.862402,18.04403251,29.93645308,824.9980348,1759.113573,922.8104237,30.17598944,11.48903131,1480.5,588.6950396,11.34521183,3.743253662,11.25719479,1.867478758,673.98614,4.620953147,5.035714286,8.808004934,0.668898513,4.619104478,4.152512998,1662.291426,10.11215057,10.44813121,361.0527065,4.078850103,1.401918553,5.030513176,11.47541076,1.281239248,1.032631647,555.6561249,41.7826087,721.6253315,809.6101817,701.9724207,1102.003681,0.812950803,2391.465021,0.877796239,10.42356518,1.650306495,0.740998838,10.65217391,8.018604226,418.1109378,8.401365363,1.928898886,1.380730615,1121.5457,4.897959184,749.7165533,0.901866026,4.39687114,1.422051893,1.313805349,0.862161276,1.003190953,1.070935277,2.356366556,1162.511597,4.467355822,0.943237228,1940.820216,0
South Africa,Australia,Australia,33 runs,Perth,3-Feb-02,1802,/wi/engine/match/65626.html,65626,29.9517346,685.8523603,26.90618204,37.21787655,26.35020747,29.67778443,611.3572853,31.31846864,8.999769483,43.34236722,24.94252749,10.4425824,32.04122397,1.803969758,672.6635436,25.23638341,27.53340903,809.4635061,825.2790638,971.5063234,30.5392341,10.10592006,1079.906667,924.9602956,11.47624345,3.969758577,11.34521183,1.717802793,747.7353032,4.676233184,4.090452261,11.74421924,1.304249427,4.07413442,4.561462919,913.0530742,10.93794494,11.04079375,1102.077725,4.792431193,1.290829283,4.618319094,10.42356518,1.29219493,0.869682712,696.1498241,20.11640095,807.1099805,644.2035834,627.3493027,2477.116825,0.829349917,1171.674899,0.919892581,11.29267549,1.928898886,0.884904123,9.485172374,3.403794562,805.0123704,8.10971076,3.008712786,1.78393601,1569.108876,3.756694721,760.786375,0.761169303,4.245559364,1.556827984,1.354753374,0.688202616,0.599815758,1.728957563,0.954154835,1235.88648,4.717724289,0.544030327,1037.103987,0
India,England,England,5 runs,Mumbai,3-Feb-02,1803,/wi/engine/match/64744.html,64744,32.39425899,542.0737276,33.0625,21.56164234,38.19042444,20.74406646,531.4958854,30.2931154,9.938240137,10.88327273,20.20962931,11.18970012,28.56489009,2.629764783,985.4274893,30.27299864,27.12331097,909.0414066,1115.900581,795.9649844,29.91032275,10.16960862,1284.664723,844.1454692,11.40658892,4.248278362,10.54697074,1.432791069,1181.455577,4.96371553,4.033613445,10.26177027,3.040404638,5.141725352,4.988505747,9565.111108,10.71491197,9.706312711,667.3356927,3.780120482,1.203834966,4.196002361,10.01644983,1.142708098,0.727667296,583.5626236,19.53875969,135.2082207,870.3630305,460.2545508,940.2369733,0.848618475,1185.356916,0.715374178,11.15245055,0.923008294,0.59238155,19.94913837,9.782087669,1029.528569,10.30653978,0.84981952,1.428690177,1155.857143,4.478761563,1497.856223,0.752265387,5.700996678,1.249561907,0.947301833,0.861728088,0.69443339,1.384525801,1.256015431,1358.927335,4.967991558,0.703763831,1327.598096,0
New Zealand,South Africa,South Africa,8 wickets,Melbourne,6-Feb-02,1804,/wi/engine/match/65627.html,65627,25.72250407,609.0270763,12.80604343,24.14891095,24.72058824,18.34240014,540.548326,26.14865376,12.86803382,37.66501509,30.44806945,11.36379166,26.81792922,1.006628724,290.54,21.50003598,25.19896236,830.6989743,2177.871094,916.1815096,29.7534094,11.48903131,2821.5,455.7786741,10.4904209,3.76443769,11.41216773,1.1954862,680.1701585,4.630627089,5.210526316,11.34521183,1.728957563,4.40201005,4.145867099,1044.368931,9.155367254,10.42716061,681.3312373,4.094621917,3.761626198,4.724671828,11.48788181,0.934364278,1.587232838,584.9980193,21.68928399,783.1531192,1098.566409,698.813375,788.012197,0.93114774,1398.451687,0.818355074,10.13833353,2.055389959,0.942368885,20.11640095,8.087733295,3111.285069,15.24997509,1.843716054,1.166014638,1071.719783,4.602932551,407.0483226,0.835155657,4.719738277,1.395249703,1.898143221,0.6126634,0.815974207,1.002114014,1.928898886,1200.141939,4.472432432,0.954565891,1968.479939,0
New Zealand,South Africa,South Africa,6 wickets,Sydney,8-Feb-02,1805,/wi/engine/match/65628.html,65628,25.54788764,631.1237325,12.39988558,23.92184469,22.60465116,18.7320341,560.1604433,29.15727554,12.98827659,37.66501509,30.83489759,11.42561372,26.81792922,1.210960405,1848.675,21.56822081,25.00941765,833.7429509,348.995,910.5970492,29.66338194,11.49257114,3967.5,2477.628748,10.49970897,3.761509434,11.41216773,1.273376695,690.5200362,4.622854914,5,11.34521183,1.728957563,5,4.113029827,1031.403307,9.348658135,10.43048235,683.4863894,4.103656087,3.426241444,4.713856427,11.50896799,0.825038008,0.688378716,553.5124868,21.52762681,871.0374622,1084.48801,674.3467957,775.4617517,1.116210509,1397.983535,0.822620958,10.14823189,1.957607033,0.725461836,20.11640095,8.087733295,585.8249828,9.999858428,2.2543094,2.193789112,925.8173076,4.210762332,277.7777778,0.683167681,4.713203463,1.255047659,1.262072406,0.819588006,1.004669357,1.070935277,1.928898886,1217.518659,4.487935657,1.040783595,2007.465278,0
England,New Zealand,New Zealand,4 wickets,Christchurch,13-Feb-02,1806,/wi/engine/match/64745.html,64745,29.42000604,574.1650344,20.42458453,25.55851064,32.6290775,20.54968553,554.0393191,25.36240144,9.753666953,18.50588438,21.52596934,10.2652931,24.09421201,1.346417543,1172.0625,26.65673919,15.43367347,795.4464,920.1088034,1284.476856,20.87795858,11.18249997,911.397012,804.4355528,12.99383423,4.684210526,10.23004669,1.282920625,1397.604577,4.87037037,4.341726619,11.42561372,1.070935277,3.847953216,4.498002663,1782.672446,11.49520749,11.51575043,702.1864523,4.712864721,1.6841146,4.877005348,10.71491197,1.013273621,0.727398576,488.5921582,6.592882852,478.0424148,550.2210029,533.2829093,685.2382453,0.711005028,1136.96,0.788512666,11.8210742,1.138961259,0.704887563,13.3541048,7.188354822,935.4079008,7.906954489,2.425272035,0.846745344,2039.028742,4.262818214,843.1938688,1.090687083,4.299291094,1.061089149,0.876903897,0.962421563,0.780449885,0.838240446,1.15915699,2367,4.958762887,0.994010021,1244.186667,0
West Indies,Pakistan,Pakistan,4 wickets,Sharjah,14-Feb-02,1807,/wi/engine/match/64746.html,64746,16.68548315,595.3174421,24.10378842,26.37555004,20.79653769,0,553.36671,21.89680083,11.48411939,13.86368528,27.29106141,10.93981918,14.18530863,1.421805729,974.8384,16.30311126,16.0576416,885.1331668,1586.578564,836.2840282,24.81542286,8.855697913,697.5,638.704849,10.9727623,3.860122106,9.835026062,1.473834032,719.8809025,4.605320541,4.65,10.56167684,3.356549374,3.958376691,4.382839823,612.8620129,10.51744477,10.63587283,763.1849413,4.601750547,0.939921989,4.41337386,8.660361523,1.326705906,0.725180353,499.9920697,16.42834028,1027.763769,1890.524053,626.1869276,1230.238996,0.984163259,1354.559546,0.810151659,10.70266266,1.517874539,0.720555676,5.968593803,1.635840851,1000.691917,2.30414957,1.783849452,0.860523283,820.1560669,3.763951251,1002.777778,0.635912834,4.251784555,1.779599268,1.488720184,0.851991614,1.120846862,1.384304607,1.318908383,558.5716263,4.335565738,0.729168581,1689.780798,0
West Indies,Pakistan,Pakistan,51 runs,Sharjah,15-Feb-02,1808,/wi/engine/match/64747.html,64747,16.41434196,589.4055251,23.81943919,26.34507561,21.42973649,19.5,551.4185298,18.65318681,10.98712232,14.29424209,27.15736344,10.48355126,11.23130342,1.475415157,1089.704,16.13016767,15.53664169,722.1714915,1595.28418,1229.070187,24.77132863,8.995534726,1675.570446,631.9680477,10.56258956,4.601851852,10.83123697,1.442747212,565.3090859,4.648648649,4.336016801,10.41792209,3.356549374,3.966502463,4.373585777,1709.65374,10.51744477,10.97280245,762.8292344,4.57753097,0.977844038,4.396551724,8.933761013,1.421931579,0.721101545,501.7585585,16.29087246,1046.405234,194.9922896,552.4917104,1868.780086,0.982564864,1360.277551,0.743056267,10.70911185,8.947213621,0.779191562,7.479340193,0.566905566,897.0467616,1.915903083,1.341118677,0.761124148,809.0513017,3.739345275,505.4758824,1.368047157,4.561598224,1.634550083,1.593275373,0.858443398,1.120824715,0.836653062,1.711340284,4242.666666,4.48357203,0.641333761,2175.349173,0
England,New Zealand,New Zealand,155 runs,Wellington,16-Feb-02,1809,/wi/engine/match/64748.html,64748,30.02335646,478.1063668,14.04675325,23.65984655,31.57351399,26.74793147,461.3477137,9.769379845,9.754992554,21.42409493,23.92013889,10.25691792,18.45556174,1.655733692,633.6,20.72649925,25.66857233,839.7426037,892.6634231,1257.482018,22.96489545,11.18136217,916.065104,962.1892882,11.51681399,4.758865248,12.00375971,1.045426796,1383.931795,4.773480663,4.392226148,12.65608522,1.070935277,4.583333333,4.468051538,1789.264064,12.86953766,11.50207937,724.3642836,4.713440684,1.931819767,4.809045226,10.69077423,0.997884972,0.656479028,523.9422663,20.00652713,490.1979968,674.277342,640.4273636,687.7045187,0.695519411,1151.582766,0.777927605,11.84834776,0.85845913,0.608381218,23.97977778,12.81281621,1833.90132,5.561025877,1.082254877,0.984719102,1914.683733,4.268821023,706.0885645,0.818205289,4.298032279,1.197448068,0.956820819,1.088454902,0.915267947,0.796680587,2.345451081,1629,4.801886792,0.921513749,1438.773333,0
Pakistan,West Indies,West Indies,110 runs,Sharjah,17-Feb-02,1810,/wi/engine/match/64749.html,64749,24.58392515,551.8108449,22.50549451,14.12645984,19.93702532,26.76415366,589.8248666,22.59781885,10.9728555,8.827586207,15.62019231,10.57463878,26.21612543,0.866297511,564.6700671,15.30344766,16.08650538,2809.555555,720.3087915,397.8751698,15.71527109,10.70961364,796.8477387,1236.866181,10.47899957,4.292553191,10.4181589,1.122674596,1148.150888,4.421976593,4.356277155,9.839072704,1.027575642,4.620226605,4.338547098,2233.233471,8.981940691,10.95668956,405.9924259,4.029767442,1.108876089,4.835820896,10.62514852,1.446243587,0.750008055,552.0989112,7.412909383,503.1395682,864.0865333,446.0959203,761.8030695,1.117560664,1181.387755,0.91113801,8.995534726,1.595894669,0.636774664,23.64967462,6.065078337,1908.329546,0.729166667,1.759500726,1.568399116,1681.160731,4.606077048,1049.979321,0.768103777,4.466390041,1.477363131,1.486654606,0.836653062,0.789341531,3.356549374,6.552734238,1345.156636,4.53101197,0.90083564,1766.720222,0
